filename	mofkey
ABAVIJ_clean.cif	Co.TWBYWOBDOCUKOW.MOFkey-v1.rtl
ABAVOP_clean.cif	Co.TWBYWOBDOCUKOW.MOFkey-v1.rtl
ABAYIO_clean.cif	Mn.QMKYBPDZANOJGF.MOFkey-v1.tbo
ABAYOU_clean.cif	Co.QMKYBPDZANOJGF.MOFkey-v1.tbo
ABEFUL_clean.cif	Tb.YJOIBUVJPZVTIB.MOFkey-v1.bcu
ABEMIF_clean.cif	Cu.QMKYBPDZANOJGF.MOFkey-v1.the
ABETIN_clean.cif	Cu.ZNALFCQVQALKNH.MOFkey-v1.ubo
ABEXEM_clean.cif	La.MUBZPKHOEPUJKR.XIEOKRXVAACBHI.MOFkey-v1.ERROR
ABEXEN_clean.cif	In.NEQFBGHQPUXOFH.YCGAZNXXGKTASZ.MOFkey-v1.UNKNOWN
ABEXIQ_clean.cif	Ce.MUBZPKHOEPUJKR.XIEOKRXVAACBHI.MOFkey-v1.ERROR
ABEXOW_clean.cif	Pr.MUBZPKHOEPUJKR.XIEOKRXVAACBHI.MOFkey-v1.ERROR
ABEXUC_clean.cif	Nd.MUBZPKHOEPUJKR.XIEOKRXVAACBHI.MOFkey-v1.ERROR
ABEYAJ_clean.cif	Sm.MUBZPKHOEPUJKR.XIEOKRXVAACBHI.MOFkey-v1.ERROR
ABEYEN_clean.cif	Eu.MUBZPKHOEPUJKR.XIEOKRXVAACBHI.MOFkey-v1.ERROR
ABEYIR_clean.cif	Gd.MUBZPKHOEPUJKR.XIEOKRXVAACBHI.MOFkey-v1.ERROR
ABIYIV_clean.cif	Co.MWVTWFVJZLCBMC.WQCVMVXXCVLMAN.MOFkey-v1.UNKNOWN
ABUWOJ_clean.cif	Zn.KKEYFWRCBNTPAC.MOFkey-v1.pcu
ABUXUT_clean.cif	Cu.MMEDJBFVJUFIDD.PQOCAFLVISLZNI.MOFkey-v1.ERROR
ACAJIY_clean.cif	Zn.TWQIQMIZUYRYES.MOFkey-v1.pcu
