11034,OOC(=O)c1c(O)cc(c2c1[C]=C(O)C=C2)C(=O)[O-].[O-]C(=O)C=C(C=C(C(=O)[O-])O)O.[O-]C(=O)C=CC(=C(C(=O)[O-])O)O.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;11034,Zn.IQFNSSXLMQNRQZ.XJUKYTWBYSAJBF.ZXKYUTSKMGERSQ.MOFkey-v1.pcu
11035,[O-]C(=O)C=C(C(=C(C(=O)[O-])O)O)O.[O-]C(=O)C=CC(=CC(=O)[O-])O.[O-]C(=O)c1c(O)cc(c2c1cccc2O)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11035,Zn.DLKZGMNZEDNHKO.GVVSVNBWNDRRNE.QTXHGEAIZRTFCC.MOFkey-v1.pcu
11036,[O-]C(=O)C=C(C(=C(C(=O)[O-])O)O)O.[O-]C(=O)C=CC(=CC(=O)[O-])O.[O-]C(=O)c1c(O)cc(c2c1cccc2O)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;11036,Zn.DLKZGMNZEDNHKO.GVVSVNBWNDRRNE.QTXHGEAIZRTFCC.MOFkey-v1.pcu
11037,OOC(=O)c1cc(O)c(c2c1[C]=C(O)C=C2)C(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])O)O.[O-]C(=O)C=CC=C(C(=O)[O-])O.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11037,Zn.IQFNSSXLMQNRQZ.JBEBGTMCZIGUTK.XAWAYQSROSRTNA.MOFkey-v1.pcu
11038,OOC(=O)c1cc(O)c(c2c1[C]=C(O)C=C2)C(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])O)O.[O-]C(=O)C=CC=C(C(=O)[O-])O.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;11038,Zn.IQFNSSXLMQNRQZ.JBEBGTMCZIGUTK.XAWAYQSROSRTNA.MOFkey-v1.pcu
11039,Oc1cc(O)c2c(c1O)c(C(=O)[O-])c(c(c2C(=O)[O-])O)O.[O-]C(=O)C=C(C=C(C(=O)[O-])O)O.[O-]C(=O)C=CC(=CC(=O)[O-])O.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11039,Zn.DLKZGMNZEDNHKO.NFXGTPYMAXZHPK.ZXKYUTSKMGERSQ.MOFkey-v1.pcu
1104,Cc1cc(C(=O)[O-])c(cc1c1ccc(c(c1)C)C(=O)[O-])C.[O-]C(=O)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;1104,Zn.RLNGBOBSZAHYEF.YTIVTFGABIZHHX.MOFkey-v1.pcu
11040,Oc1cc(O)c2c(c1O)c(C(=O)[O-])c(c(c2C(=O)[O-])O)O.[O-]C(=O)C=C(C=C(C(=O)[O-])O)O.[O-]C(=O)C=CC(=CC(=O)[O-])O.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;11040,Zn.DLKZGMNZEDNHKO.NFXGTPYMAXZHPK.ZXKYUTSKMGERSQ.MOFkey-v1.pcu
11041,N#CC(=C(C(=O)[O-])C#N)C=CC(=O)[O-].N#CC(=CC(=O)[O-])C=C(C(=O)[O-])C#N.N#Cc1c(C#N)ccc2c1c(ccc2C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11041,Zn.DQJBIBXTBKTPIS.DVOVXRRBOWNXJO.JBAWQGFXVGHYRF.MOFkey-v1.pcu
11042,N#CC(=C(C(=O)[O-])C#N)C=CC(=O)[O-].N#CC(=CC(=O)[O-])C=C(C(=O)[O-])C#N.N#Cc1c(C#N)ccc2c1c(ccc2C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.UNKNOWN.cat0;11042,Zn.DQJBIBXTBKTPIS.DVOVXRRBOWNXJO.JBAWQGFXVGHYRF.MOFkey-v1.UNKNOWN
11043,N#CC(=CC(=O)[O-])C(=C(C(=O)[O-])C#N)C#N.N#Cc1c(C(=O)[O-])c2c(C#N)c(C#N)ccc2c(c1C#N)C(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11043,Zn.QOHBGPGLHQEMEP.TXXHDPDFNKHHGW.YJFIOUCNPYBMKJ.MOFkey-v1.pcu
11044,* MOFid-v1.NA.NA;11044,
11045,* MOFid-v1.NA.NA;11045,
11046,* MOFid-v1.NA.NA;11046,
11047,N#CC(=CC(=O)[O-])C(=C(C(=O)[O-])C#N)C#N.N#CC(=CC(=O)[O-])C=CC(=O)[O-].N#Cc1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11047,Zn.QOHBGPGLHQEMEP.QWWXUCCMEFZWMW.XBKUGIJTCKASKU.MOFkey-v1.pcu
11048,N#CC(=CC(=O)[O-])C(=C(C(=O)[O-])C#N)[C][N][N][C]c1cc(C(=O)[O-])c2c(c1C(=O)[O-])cccc2.N#CC(=CC(=O)[O-])C=CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.fse,UNKNOWN.cat0;11048,Zn.OYUBTWTZIFARJU.XBKUGIJTCKASKU.MOFkey-v1.fse
11049,* MOFid-v1.NA.NA;11049,
1105,CCc1cc(c2ccc(cc2)C(=O)[O-])c(c(c1C(=O)[O-])CC)CC.[O-]C(=O)C#CC(=O)[O-].[O][C]c1ccc(cc1CC)c1ccc(c(c1)CC)C(=O)[O-].[O].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;1105,Zn.SJLSLVFEOUAUQL.SJTDOABMXGXPDQ.YTIVTFGABIZHHX.MOFkey-v1.pcu
11050,* MOFid-v1.NA.NA;11050,
11051,COC(=C(C(=O)[O-])OC)C=CC(=O)[O-].COC(=CC=CC(=O)[O-])C(=O)[O-].COc1c(OC)c2OOC(=O)c3c2c(c1OC)c(cc3)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11051,Zn.KRBPBSFBAJEGSG.MUMZMVOJDUPLEW.WAKVBZGLDNBGFC.MOFkey-v1.pcu
11052,* MOFid-v1.NA.NA;11052,
11053,COC(=CC=CC(=O)[O-])C(=O)[O-].COc1c(OC)c2c(C(=O)[O-])c(OC)cc3c2c(c1[O])OOC3=O.COc1ccc2c(c1)c(cc(c2C(=O)[O-])OC)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11053,Zn.FPPFNCJRWOCNGI.MHKFAUJUMPGPEL.WAKVBZGLDNBGFC.MOFkey-v1.pcu
11054,COC(=CC(=O)[O-])C=CC(=O)[O-].COc1ccc2c(c1)c(ccc2C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.sql.cat0;11054,Zn.OQXMNWZCSDOUBH.SAPATBHEEXBPPX.MOFkey-v1.sql
11055,COC(=CC(=O)[O-])C=C(C(=O)[O-])OC.COc1cc2c(C(=O)[O-])c(OC)cc3c2c(c1[O])OOC3=O.[O-]C(=O)C=CC=CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11055,Zn.PCWFMOHZHIIFTJ.TXXHDPDFNKHHGW.UYDYQNJITMUGJL.MOFkey-v1.pcu
11056,CCOC(=CC(=O)[O-])C(=CC(=O)[O-])OCC.CCOC(=CC(=O)[O-])C=C(C(=O)[O-])OCC.CCOc1cc2c(cc1OCC)c(C(=O)[O-])c(c(c2C(=O)[O-])OCC)OCC.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11056,Zn.AWNOJUAXIMEESY.LBPSJQXMQIQPTL.TZCJOPWJRNSXSM.MOFkey-v1.pcu
11057,CCOC1=C(OCOC(=C1)C(=O)[O-])C(=O)[O-].CCOc1cc2c(C(=O)[O-])c(OCC)c(c(c2cc1OCC)[C][O])O[C]C.O.[O-]C(=O)C(=CC=CC(=O)[O-])OCC.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11057,Zn.NKLSDFLBRDDPBL.NYOAOFVNFFCCMR.WIRUYCSLHXZKTC.MOFkey-v1.pcu
11058,CCOC(=CC(=O)[O-])C(=C(C(=O)[O-])OCC)OCC.CCOc1c(OCC)ccc2c1c(C(=O)[O-])c(OCC)cc2C(=O)[O-].[O-]C(=O)C(=CC=CC(=O)[O-])OCC.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11058,Zn.NKLSDFLBRDDPBL.RAQZNUFOSBICTQ.VFICWAWEBFBSBY.MOFkey-v1.pcu
11059,CCOc1c(OCC)ccc2c1c(C(=O)[O-])c(OCC)cc2C(=O)[O-].CCOc1cc2c(cc1OCC)c(cc(c2C(=O)[O-])OCC)C(=O)[O-].C[C]OC(=C[C][O])C=CC(=O)[O-].O.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11059,Zn.BLYRKKJGEWLSFI.RAQZNUFOSBICTQ.SHEJCKJHHOXCPF.MOFkey-v1.pcu
1106,CCc1cc(ccc1C(=O)[O-])c1c(CC)c(CC)c(c(c1CC)CC)C(=O)[O-].[O-]C(=O)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;1106,Zn.QLMDIHRVVOEFAH.YTIVTFGABIZHHX.MOFkey-v1.pcu
11060,CCCOc1c(C(=O)[O-])c2ccccc2c(c1[O])C(=O)[O-].[CH2]CC.CCCOc1cc2c(ccc(c2cc1[O])C(=O)[O-])C(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;11060,Zn.BBJWMSFPSCPRDV.TXXHDPDFNKHHGW.VPCFYANYJYMICP.MOFkey-v1.pcu
