5069505,* MOFid-v1.NA.NA;5069505,
5069506,N#CC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])C#N.N#Cc1c(C#N)c(ccc1c1c(C#N)c(C#N)nc(c1C#N)C#N)c1ccncc1.N#Cc1c(C#N)c(ccc1c1ccc(c(c1C#N)C#N)C(=O)[O-])c1ccc(c(c1C#N)C#N)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069506,Cu.OOVPMYZSPAHAEE.PXGZLWZRWGSKPM.UOEDMCHRXWTTFL.MOFkey-v1.pcu
5069507,COC12C3(C(=O)[O-])C4C2(C2(C1(C3C42)OC)C(=O)[O-])OC.[Cu][Cu] MOFid-v1.pcu,sql.cat0;5069507,Cu.ZWSZVGQNZXCAGV.MOFkey-v1.pcu
5069508,COC12C3C4(C2(C2(C1(C3(C42OC)OC)C(=O)[O-])OC)OC)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu,ERROR.cat0;5069508,Cu.DKVROZQCQGWKGA.MOFkey-v1.pcu
5069509,COc1cc(ccc1c1c(OC)cc(cc1OC)C(=O)[O-])c1c(OC)cc(c(c1OC)OC)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu,sql.cat0;5069509,Cu.HNOMFUQSCOBSHQ.MOFkey-v1.pcu
5069510,CCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41OCC)C(=O)[O-])OCC.CCOc1c(ccc(c1OCC)c1ccncc1OCC)c1c(OCC)cnc(c1OCC)OCC.CCOc1cc(c(cc1c1cc(OCC)c(cc1OCC)C(=O)[O-])OCC)c1c(OCC)cc(c(c1OCC)OCC)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu,sql.cat0;5069510,Cu.BKXMFHUHUVLKAO.DSNKZXSEWCGQGX.SMTLQENOYGAVLI.MOFkey-v1.pcu
5069511,CCCOC12C3(C(=O)[O-])C4C2(C2(C1(C3C42)OCCC)C(=O)[O-])OCCC.CCCOC1=C(C=C[N]C1=O)c1c(OCCC)cc(c(c1OCCC)OCCC)c1ccncc1OCCC.[Cu][Cu] MOFid-v1.pcu.cat0;5069511,Cu.HWZMWJVLOPCJJD.RIJGZWFJTOMGIW.MOFkey-v1.pcu
5069512,CCCOC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])OCCC.[Cu][Cu] MOFid-v1.pcu,sql.cat0;5069512,Cu.URYXXCXMTJANPT.MOFkey-v1.pcu
5069513,N=NC12N3C4C2N2C1C3C42N=N.N=Nc1c(N=N)c(c2cc(N=N)c(c(c2)N=N)C(=O)[O-])c(c2c1-c1ccc(cc1[N]NN2[NH])C(=O)[O-])N=N.N=Nc1c2-c3cc(N=N)c(cc3[N]NN(c2cc2-c3c(N=N)cc(c(c3[N]NN(c12)[NH])N=N)C(=O)[O-])[NH])C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069513,Cu.CSGQFNDPACUQKI.MOEOHDVWPHSXPO.QWKNNUUCGOBWMY.MOFkey-v1.pcu
5069514,N=NC12C3(C(=O)[O-])C4C1(N=N)C1(C2(C3(C41)N=N)N=N)C(=O)[O-].N=Nc1cc(ccc1C(=O)[O-])c1ccc(c2=NNNN=c12)c1ccc(c(c1)N=N)C(=O)[O-].N=Nc1nccc(c1)c1cc2[N]NN(c3c(-c2c(c1)N=N)cc(N=N)nc3)[NH].[Cu][Cu] MOFid-v1.pcu.cat0;5069514,Cu.DSKHWVCJBWJNPH.MUPNYTBYVWBFLF.QQBLJAFWMUCSMD.MOFkey-v1.pcu
5069515,N=NC12C3C4(C1C1(C2(C3(C41N=N)N=N)C(=O)[O-])N=N)C(=O)[O-].N=NC1=[N]=C(N=N)C(=C([CH]1)c1ccc(c2=NNNN=c12)c1ccncc1)N=N.N=Nc1cc(cc2c1-c1ccc(cc1N(N[N]2)[NH])C(=O)[O-])c1ccc(cc1N=N)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069515,Cu.KSDIRIRSWUDXRJ.RPEZHILDPDWVEB.XRBXOKHAFWCTBZ.MOFkey-v1.pcu
5069516,N=NC12C3C4C2(C2(C1C3(C42N=N)C(=O)[O-])N=N)C(=O)[O-].N=NC12C3C4C2(C2C1C3(C42)C(=O)[O-])C(=O)[O-].N=Nc1nccc(c1)c1cc2[N]NN(c3c(-c2cc1N=N)c(N=N)cnc3N=N)[NH].[Cu][Cu] MOFid-v1.pcu.cat0;5069516,Cu.OPDUYRUVJAKXOT.SEFPNVOWCALTSR.WXEPEOIJOANYEW.MOFkey-v1.pcu
5069517,N=NC12C3(C(=O)[O-])C4C1(N=N)C1(C2(C3(C41)N=N)N=N)C(=O)[O-].N=NC1=C(c2ccc(cc2)c2c(N=N)cncc2N=N)C2=NNN[N]C2=N[CH]1.N=Nc1cc2-c3c(N(N[N]c2cc1c1ccc(cc1)C(=O)[O-])[NH])c(N=N)c(c1=NNNN=c31)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069517,Cu.DSKHWVCJBWJNPH.FWKYFKGLCLVITD.VTZRBZNVKLDNAZ.MOFkey-v1.pcu
5069518,N12C3C4C2C2C1C3N42.[Cu][Cu].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-] MOFid-v1.pcu.cat0;5069518,Cu.JFKXMJUMOJJTCQ.ZOJBMYYUXCBGCL.MOFkey-v1.pcu
5069519,[Cu][Cu].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].c1cnc2c(n1)CC2 MOFid-v1.pcu.cat0;5069519,Cu.JFKXMJUMOJJTCQ.SBIHZDUATVMCQW.SUWUPUWPGJRZAT.MOFkey-v1.pcu
5069520,FC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].Fc1cnc2c(n1)C(C2(F)F)F.[Cu][Cu].[O-]C(=O)C12C3C4C1(F)C1(C2(C3(C41C(=O)[O-])F)F)F MOFid-v1.pcu.cat0;5069520,Cu.FEFJFMDPWCHNOO.SNILWGOLBNGCMM.YEBBFMZEJYMKSV.MOFkey-v1.pcu
5069521,Fc1nc2CC(c2nc1F)(F)F.[Cu][Cu].[O-]C(=O)C12C3C4(C2(C2C1(C3(C42C(=O)[O-])F)F)F)F.[O-]C(=O)c1cc(F)c(c2c1C(F)C2F)C(=O)[O-] MOFid-v1.pcu.cat0;5069521,Cu.BHLDDPOXBRNHSO.MEOMPINSLHVSQG.VARAGLKPLCVBQS.MOFkey-v1.pcu
5069522,FC1C(F)c2c1c(C(=O)[O-])c(c(c2C(=O)[O-])F)F.FC1C(F)c2c1nccn2.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F MOFid-v1.pcu.cat0;5069522,Cu.GEZGKUNOVUQLGL.PVZUIIMFKVKLME.SKTBABGIUVTROI.MOFkey-v1.pcu
5069523,FC1c2nccnc2C1(F)F.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])F)F)F.[O-]C(=O)c1ccc(c2c1C(F)C2(F)F)C(=O)[O-] MOFid-v1.pcu.cat0;5069523,Cu.PAUWGLPWOBVGCM.PVZUIIMFKVKLME.VPFVWHMFBGECDV.MOFkey-v1.pcu
5069524,FC1c2nccnc2C1(F)F.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2C1C3(C42C(=O)[O-])F)F.[O-]C(=O)c1ccc(c2c1C(F)C2(F)F)C(=O)[O-] MOFid-v1.pcu.cat0;5069524,Cu.NGIAVEMSENUJFE.PAUWGLPWOBVGCM.VPFVWHMFBGECDV.MOFkey-v1.pcu
5069525,ClC1Cc2c1c(cc(c2C(=O)[O-])Cl)C(=O)[O-].Clc1nc2CCc2nc1Cl.[Cu][Cu].[O-]C(=O)C12[C]3C4[C]2C2(C1C3C42C(=O)[O-])Cl MOFid-v1.pcu.cat0;5069525,Cu.DUQLNKBOWJLXAP.FTUCAFXDGGRUPW.NTOJGZFRPSQMOA.MOFkey-v1.pcu
5069526,Clc1cnc2c(n1)C[CH]2.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])Cl)Cl)Cl.[O-]C(=O)c1c(Cl)cc(c2c1[CH]C2(Cl)Cl)C(=O)[O-] MOFid-v1.pcu.cat0;5069526,Cu.HFUREPKCOAHZBO.MVIORNKUUMSPMT.QXBYAEODLUMPRN.MOFkey-v1.pcu
5069527,Clc1nc2C[C]c2nc1Cl.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])Cl)Cl)Cl.[O-]C(=O)C12C3[C]4C1C1(C2C3(C41C(=O)[O-])Cl)Cl MOFid-v1.pcu.cat0;5069527,Cu.HFUREPKCOAHZBO.JAWJQUCZHDBGGT.ZFQQEILCRSEZOA.MOFkey-v1.pcu
5069528,ClC1[CH]c2c1nc(c(n2)Cl)Cl.ClC1[C](Cl)c2c1c(ccc2C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C12[C]3[C]4C1C1(C2([C]3C41C(=O)[O-])Cl)Cl MOFid-v1.pcu.cat0;5069528,Cu.CKFZDPHPMWWUNY.GKDFINMYPUIJSE.YHMDXVJQDUJOPM.MOFkey-v1.pcu
5069529,Clc1cnc2c(n1)C(C2Cl)Cl.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1C3(C42C(=O)[O-])Cl)Cl)Cl.[O-]C(=O)c1ccc(c2c1[CH]C2(Cl)Cl)C(=O)[O-] MOFid-v1.pcu.cat0;5069529,Cu.JAMCJRQZETXULL.RIFYKTCGVSYELJ.VKPABTXBPJICHG.MOFkey-v1.pcu
5069530,Br[C]1Cc2c1nc(c(n2)Br)Br.[Cu][Cu].[O-]C(=O)C12C3C4C2C2C1C3C42C(=O)[O-].[O-]C(=O)c1cc(Br)c(c2c1CC2(Br)Br)C(=O)[O-] MOFid-v1.pcu.cat0;5069530,Cu.DWZIZILLHFQKDN.JFKXMJUMOJJTCQ.PYKGDIZAQNMHQB.MOFkey-v1.pcu
5069531,BrC1[CH]c2c1nc(c(n2)Br)Br.[Cu][Cu].[O-]C(=O)C12C3C4C2([C]2C1C3(C42C(=O)[O-])Br)Br.[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-] MOFid-v1.pcu.cat0;5069531,Cu.SUWUPUWPGJRZAT.VUOJRPRQGUYLOU.XRHKBMFBVYLBDB.MOFkey-v1.pcu
5069532,BrC12C3N4C2(C2(N1C3(C42Br)Br)Br)Br.BrC1Cc2c1c(C(=O)[O-])c(c(c2C(=O)[O-])Br)Br.[Cu][Cu].[O-]C(=O)C12C3C4[C]2C2(C1C3C42C(=O)[O-])Br MOFid-v1.pcu.cat0;5069532,Cu.TZCMTHMETXHBDF.WQUGIZKPPVYPDK.YPFPEUTUVFPZRF.MOFkey-v1.pcu
5069533,Brc1cnc2c(n1)CC2.[Cu][Cu].[O-]C(=O)C12C3C4C1C1(C2C3(C41C(=O)[O-])Br)Br.[O-]C(=O)c1ccc(c2c1C(Br)C2(Br)Br)C(=O)[O-] MOFid-v1.pcu.cat0;5069533,Cu.DFBFISJCBLDRIS.LJQFYKWNVUPHAI.QVWDODLOHIXUOC.MOFkey-v1.pcu
5069534,BrC1[CH]C2=C1C(=C([C]=C2C(=O)[O-])Br)C(=O)[O-].BrC1[C](Br)c2c1nccn2.[Cu][Cu].[O-]C(=O)C12C3(Br)C4(C2(C2(C1(C3(C42C(=O)[O-])Br)Br)Br)Br)Br MOFid-v1.pcu.cat0;5069534,Cu.DVUGGROSYBLSAZ.FCFMHWACBQXEOV.SRSGRKDLYMUANW.MOFkey-v1.pcu
5069535,Cc1cnc2c(n1)C(C2(C)C)(C)C.[Cu][Cu].[O-]C(=O)C12C3C4C1C1(C2(C3C41C(=O)[O-])C)C.[O-]C(=O)c1ccc(c2c1C(C2(C)C)(C)C)C(=O)[O-] MOFid-v1.pcu.cat0;5069535,Cu.BYMVYIMYMHDPRF.UUFMEGKQCVMIPJ.VVZACZRBOSCODZ.MOFkey-v1.pcu
5069536,CC1Cc2c1c(C(=O)[O-])c(cc2C(=O)[O-])C.Cc1cnc2c(n1)C(C2C)C.[Cu][Cu].[O-]C(=O)C12C3(C)C4C1(C)C1(C2(C3(C41C(=O)[O-])C)C)C MOFid-v1.pcu.cat0;5069536,Cu.HOADQQQVKSKXIU.JGINAKMXCLIOIP.LYCCVDGLOPLDGM.MOFkey-v1.pcu
5069537,CC1Cc2c1c(cc(c2C(=O)[O-])C)C(=O)[O-].Cc1nc2CCc2nc1C.[Cu][Cu].[O-]C(=O)C12C3C4C1(C)C1(C2(C3(C41C(=O)[O-])C)C)C MOFid-v1.pcu.cat0;5069537,Cu.IECFRHLZEUQWQJ.PZDIQSBQYZWTGV.SIQDGLKYXJHKPA.MOFkey-v1.pcu
5069538,Cc1nc2c(nc1C)C(C2(C)C)C.[Cu][Cu].[O-]C(=O)C12C3C4C2C2(C1C3C42C(=O)[O-])C.[O-]C(=O)c1ccc(c2c1C(C)C2(C)C)C(=O)[O-] MOFid-v1.pcu.cat0;5069538,Cu.BOXRUOSZIMVNIG.ORBVVLMCWIGMNK.VJHYSLPKWNHFEL.MOFkey-v1.pcu
5069539,CCC1(CC)Cc2c1nccn2.CCC12C3(C(=O)[O-])C4C1(CC)C1(C2(C3C41)[CH2])C(=O)[O-].CCc1cc(C(=O)[O-])c2c(c1C(=O)[O-])CC2.[Cu][Cu] MOFid-v1.pcu.cat0;5069539,Cu.BLFONVLORUGAQN.QJBKDGKOHVMQCE.WTWICVYEFAPJIK.MOFkey-v1.pcu
5069540,CCC12C3C4C2(C2(C1C3(C42CC)C(=O)[O-])CC)C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069540,Cu.HEKBHAPTYJMRSV.MOFkey-v1.pcu
5069541,CCC12C3C4(C2(C2(C1(C3(C42CC)CC)C(=O)[O-])CC)CC)C(=O)[O-].CCc1cnc2c(n1)C(C2CC)CC.[CH2]C1[CH]c2c1c(ccc2C(=O)[O-])C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069541,Cu.DPSRLALYEYRHIU.TUBRJGHGTSXLEW.YYNCGXVRUXVWKC.MOFkey-v1.pcu
5069542,CCCC1(CCC)Cc2c1nccn2.CCCC12C3C4C1(C(=O)[O-])C1(C2(C3(C41)C(=O)[O-])CCC)CCC.CCCC1C(CCC)c2c1c(ccc2C(=O)[O-])C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5069542,Cu.HHJQZYGQMWBNCE.QQEHJEDXALJLNU.RYAOJXHNQNQFQX.MOFkey-v1.pcu
5069543,CCCC12C3C4(C2([C]2C1(C3(C42CCC)C(=O)[O-])CCC)C(=O)[O-])CCC.CCCc1cc(C(=O)[O-])c2c(c1C(=O)[O-])C[CH]2.CCCc1cnc2c(n1)C(C2CCC)CCC.[Cu][Cu] MOFid-v1.pcu.cat0;5069543,Cu.GOHUSDFZICTXGP.IUKQSAWJKJGSED.MOFkey-v1.pcu
5069544,CCCC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])CCC.CCCC12C3C4C2(C2(C1C3(C42)C(=O)[O-])C[CH2])C(=O)[O-].CCCC1Cc2c1nccn2.[Cu][Cu] MOFid-v1.pcu.cat0;5069544,Cu.BURSVKCXPUBWNV.OYENDCHFGPEDAM.SIVVOKNUOMUUNE.MOFkey-v1.pcu
5069545,NC12C3N4C1C1(N2C3(C41N)N)N.[Cu][Cu] MOFid-v1.ERROR,UNKNOWN.cat0;5069545,Cu.NGBCHJKXHQQZRG.MOFkey-v1.ERROR
5069546,* MOFid-v1.NA.NAno_mof;5069546,NA.MISSING_LINKERS.MOFkey-v1
