24485,* MOFid-v1.NA.NAno_mof;24485,NA.MISSING_LINKERS.MOFkey-v1
24486,COc1cc(c(cc1C(=O)[O-])O)c1cc(OC)c(cc1O)C(=O)[O-].COC1[CH]C=Cc2c1nc1cc(OC)c(c(c1n2)OC)OC.[CH2]Oc1cc(cc(c1C(=O)[O-])OC)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24486,Zn.GJRAGUQKVZWDRS.RPEGNTYLPRSGJW.MOFkey-v1.pcu
24487,COc1c(ccc(c1OC)C(=O)[O-])c1ccc(c(c1)OC)C(=O)[O-].COc1cc(cc(c1c1ccc(c(c1OC)OC)C(=O)[O-])OC)C(=O)[O-].COc1ncc(c(c1)c1ccnc(c1)OC)OC.[Zn][Zn] MOFid-v1.pcu.cat0;24487,Zn.JLHINKKBXDHDKB.WLMUHQSBYTVYKP.WWGVXMARRKQJQF.MOFkey-v1.pcu
24488,CCOC1=N[CH]C=C([CH]1)C1=C(OCC)C(=[N]=C([CH]1)OCC)OCC.[CH]COc1cc(O[CH2])c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[Zn][Zn] MOFid-v1.sql.cat0;24488,Zn.CAEBELUMDJMANP.GTAYKIQXNGYIPK.MOFkey-v1.sql
24489,CCOC1=[N]=C(OCC)C2=C([CH]1)C1=C(O[CH2])C(=[N]=C([C]1OCO2)OCC)OCC.CCOc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cc(cc1)OCC.[CH2]Oc1cc(ccc1c1ccc(cc1)C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;24489,Zn.NLIATLXJAFSNPY.NZGFYMNGTRNLFG.PQWUWUYMKUVTMM.MOFkey-v1.pcu
2449,Brc1c(cc(c(c1Br)c1c(Br)c(Br)c(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1)Br)C(=O)[O-].Brc1cc(cc(c1c1c(Br)cc(c(c1Br)Br)C(=O)[O-])Br)c1ccc(c(c1Br)Br)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)Br)C#Cc1cc(Br)c(cc1Br)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;2449,Zn.BGRUZGHRHAAJCF.MLLUCMNGEBINTO.ZMMUEMNKVJUKGV.MOFkey-v1.pcu
24490,CCCOc1cc(C(=O)[O-])c(cc1c1ccc(c(c1)OCCC)C(=O)[O-])OCCC.CCCOc1cc(ccc1C(=O)[O-])c1c(OCCC)cc(cc1OCCC)C(=O)[O-].CCCOc1ccc2c(c1)nc1c(n2)c(OCCC)cc(c1)OCCC.[Zn][Zn] MOFid-v1.pcu.cat0;24490,Zn.DULWNSOTKOTFNP.IBQIAQBWVNZUSB.RFFZCGIPNNIRDS.MOFkey-v1.pcu
24491,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccc(cc1)c1ccncc1 MOFid-v1.pcu.cat0;24491,Zn.FDFGHPKPHFUHBP.FZTIWOBQQYPTCJ.MAWKLXRVKVOYLR.MOFkey-v1.pcu
24492,[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccc(cc1)c1ccncc1 MOFid-v1.pcu.cat1;24492,Zn.FDFGHPKPHFUHBP.FZTIWOBQQYPTCJ.MAWKLXRVKVOYLR.MOFkey-v1.pcu
24493,FC1=C(F)c2c([C]=C1)c(C(=O)[O-])c1c(c2C(=O)[O-])ccc(c1F)F.Fc1nc(F)c(c(c1)c1c(F)cc(cc1F)c1c(F)cnc(c1F)F)F.[O-]C(=O)C1=C(F)C(=C(C(=[C]1)F)c1ccc(c(c1F)F)c1ccc(cc1)C(=O)[O-])F.[Zn][Zn] MOFid-v1.pcu.cat0;24493,Zn.JHKMCQVDDMLHDZ.NRFALUSTYCSQIL.RJPROIDNFAANHV.MOFkey-v1.pcu
24494,Fc1c(F)cc2c(c1F)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.Fc1ccc2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])ccc(c1)F.Fc1nc(F)cc(c1)c1ccc(cc1)c1cc(F)ncc1F.[Zn][Zn] MOFid-v1.pcu.cat0;24494,Zn.HNMAGNIODPNPGN.OTLDUDHCAAZMCT.WBMMKYHOXBMPLY.MOFkey-v1.pcu
